,Paylaþým
4231,haddinden fazla gevþek twitmentionlarýnýz yüzünden çoðunu engelleyesim var bu ne embesil hareketler aq veled
4232,yarým yamalaðým herþey bombok
4233,öðretim görevlilerinden öðrencilerine  personelinden hastasýna cerrahpaþaduruþu budur
4234,pislik bi insaným ve bu makarnadan nefret ediyorum
4235,ee angut kukla oldumu insan gýlýgýn daki varlýklar neyap týgýný bilmeyen zavallý lar 
4236,su katýlmamýþ bir vatan hainisin yavþak
4237,onun bunun koynundakiler için ziyan edilen aþklarýn þerefine kalksýn kadehler  sizden bir bok olmaz
4238,birþey diyim mi eve geldim yan binada düðün var bu kadar da olamaz dedim
4239,gerçeðin dýþýna çýkmayarak yalan söylemek sinema anlayýþý olarak diyorum
4240,elinde olmayýpta yorum yapan kerhane çocuðu
4241,hadi lan ordan sikik
4242,keþke sadece ayyaþ olsa at hýrsýzýna benziyo oðlun havva anne
4243,ne demek çikolata zararlý
4244,biz türk milleti olarak çok garibiz ne bileyim sincanlý mustafa taþ ankaralý namýk kýrþehirli bilmem ne siz hiç httpstcodzbu7gwr8y
4245,ya dorydi deðil mi 57 yaþ grubu dahil hepimizin aðzýna sýçtýn ya her haltý unuttun film boyunca yeter hatýrýma
4246,acaba düðün dansý olur mu düðünde halay horon olur mu düsünsenize davut dayý foto rasim deli gibi oynuyor ha
4247,aþýrý güzel þarký be
4248,buyrun yine ezber cümleler bu solcuyum diye geçiniyor yani türk tipi ucube bir solculuk
4249,kardeþim ne küçümsedin tavuðu yaa allah muhtaç eder valla korkmuyolarda hiç biz tavuk yiyoruz uygun fiyat çünkü haným abla
4250,sanane be zilli
4251,yavuþak ve de tabii ki yandaþ  kaldý
4252,çünkü orospu çocukluðu yapýyosunuz
4253,keske asifte dese bu direk oruspu diyor
4254,götün kaþýnmasýn ananý sikerim
4255,portakal suyu almaya üþendiðim için þu güzel gecede ayýq geziyorum sen þu an kafamdan daha güzelsin
4256,çaylar dallama dallama olmuþ
4257,hayýrlý günler
4258,yarýn okula gitmeye hiç hevesli deðilim çünkü ilkbahar geldi ve bu içimizin pýrpýr olduðu dönemde aþýk olunacak kimse y
4259,angut diyen gavat senin 7 ceddini sikerim
4260,sucuk ekmek var yenmi  yalaka taraftar grubu þarký söylemek için o koltuklarý boþuna meþgül etmeyin karaktersiz toplulugu 
4261,millette ne göt var amk ya herkes büyük yarrak peþinde
4262,ikinci gol sonrasý galatasaray taraftarýnýn gol sevinci  skor farklý olsa þenol güneþin kafasýna atacaklardý
4263,iki kiþi arasýnda kalýnca þiþko olaný seçiyorum sürekli çünkü þiþko olan þiþko diye zaten üzülmeye meyilli bari ben üzmeyeyim
4264,dayanmak zor yalnýzlýðýna akþamlarýn
4265,bir þey oluyorvarlýðýmýz elimizden alýnýyortarihimiz elimizden alýnýyorürettiðimiz bütün iyilikler elimizden alýnýyor
4266,azönce bu ibne ye 270 liralik yemek aldým ben hayatým boyunca 270 liralýk bi yemek yemedim valla tebrik ediyorum
4267,endorfin yükseliyorsa seratonin de yükselsin
4268,herkes gerizeka
4269,bu nasýl bir amcýk amk
4270,allame çýkkýn eser ölme hakký düðün yahnisi biriktirilme
4271,bu arada sayýn amýna koyduðum sen o profil fotoðrafýna koyduðum adam deðilsin öyle davranmaktan vazgeç
4272,tam orospu olmuþ kocasý öyle diyor
4273,onlar kaybetse birbirlerine hýrsýz der hizmetçi der kazanýyorlar yine kavgahakaretler havada
4274,dombili bi gelsene biþey dicem
4275,sana estetik yetmez yüz nakli yaptýr yosma
4276,çok mutluyum bugün de mesai bitti eve gidiyorum
4277,anlaþýlan siz diziyi izlemiyorsunuz yoksa bu saçma yaklaþýmý öne sürmezdiniz
4278,yarýn proje sýnavý için 5 kitap bitirmem ve performans için gezi yazýsý yazmam gerekiyordu bilin bakalým ben naptým
4279,asagilik kompleksli dallama
4280,haysiyetsiz karaktersiz faþist puþt sürüsü
4281,aðzýna yarragi koydum ferahladim
4282,murat ceylan severler 2 gündür ekrana ekmek banýyor aman nazar deðmesin
4283,gelirse benim fikrim baþarýlý olur
4284,hadi yee bakalým ellerin çikolata olmuþ
4285,sol taraf felç ag cocugu tudor o sol beki cok mu aradýn oçç ýsrarla oynatýyorsun sol acýk tolga oynuyor be ag oglu
4286,isterse makyaj da yapar dudak da büzer bu allah ile kiþi arasýnda kimse buna karýþamaz
4287,ne köprü ne yol istiyorum 
4288,promote liyamam ne andaval
4289,bizim bazý taraftarýmýz adebayor topçumu ne zamandýr top oynamýyor diyodu pislik diyordu þimdi çok izlersiniz böyle
4290,bir fenerbahçeli olarak tüm beþiktaþ ve türkiye taraftarýna baþarýlar dilerim    come to beþiktaþ
4291,bu pezevenk fenerbahçeli deðil yemeyin artýk bu trollemeleri
4292,çünkü hocamýz orospu çocugu
4293,hayýrlýsý inþaallah teþekkür ederim
4294,kes lan serefiz roman
4295,tövbe et pezevenk
4296,hahahahaha asdfghhghjþ adamsýn nusret usta
4297,konusunu neden aða babalarýnýz gündeme getirmiyor da sizin gibi týfýllar ilgileniyor konuylaçünkü
4298,tamam kardeþim araba senin sana aitaraba dedim pardon bmw ama ne bileyim yani kaputu açýp resim çekmene de gerek yoktu amk
4299,oturdum hesap ettim nasýlsa bugün pazar
4300,hülya avþr filmine bir masturbasyon bir duþ sahnesi filan koyaydin sex satar en iyi sen bilirsin
4301,gerizeka ergen triplerinizin lüzumu yok
4302,domal sikerim seni
4303,sen önce kadýna bakýþ açýný deðiþtir bence belki kendi andaval ruh halinden kurtulmuþ olursun
4304,yeðenim elimde telefon görünce baþýma dikiliyor sen napýyorsun hala diyip telefona bakýyor okumayý biliyor gibi pro
4305,havadan sudan konuþurken bi anda seni çok mu üzdüler diyen bi güruh var ne alakasý var oç hava diyorum çok sýcak ve bu tamamen iklimsel
4306,bizim oðlan geçen internet mi daha önce icat edildi yoksa bilgisayar mý dedi  tam salak muamelesi yapacak
4307,vee serdar ordaçýn takipçileri artýýyoor demet özdemiri bu davranýþýndan dolayý tebrik ediyoruz
4308,bu ronaldo tam krt amýna koyum tavþan gibi ibne
4309,valla sana diss atacaktým ama onu bile hak etmiyorsun bücür
4310,eve dönerken bir þarký dinledim aðlama dedim sakýn aðlama
4311,ben bu duyguyla saç baþa gireceðim az kaldý ne biçim yönetim bu ya þu salak karýya vermiþsiniz bütün yetkileri
4312,benim gibi evli godoþ kocalar burdamý kimse yokmu konuþacak
4313,güneþin çiçekleri renklendirmesi gibi sanatta hayata renk verir
4314,anandýr gerizeka orpspu çocuðu   sokak fahiþe ananýn önünde siksinler seni piç kurusu  kaltak
4315,bukadar beyinsiz biri olabilir mi yaww iki farklý yeniksin 80de oyun cu deðiþiyor bu ne lann taþak geçer gibi
4316,lan bücür amma komiksin ha
4317,rezil þýrfýntý
4318,anýlýn birsenin son kalan topunu karþýya geçip telekinezi yoluyla düþürmeye çalýþmasý
4319,eglenceyse eglence
4320,çikolata yediðimizde mutlu hissetmemizin sebebi karaciðerimizin çikolatayü alkole dönüþtürmesiymiþ küfür
4321,türkiye de 2 milyona yakýn çocuk iþçi var
4322,elin o sinirini benden niye çýkarýyosun kahpe kamoonn aç telefonu aç çýkýþa gel
4323,doðanýn iþleyiþi bozulmamalýdýr ranta kurban edilmemelidir intikamý çok acý oluyor
4324,orospu ve memurun bahþiþini önden vercen dediði zaman jüriyi merak ediyom ben
4325,exo nun teaserlarýný izlerken birden gelen gerizeka olduðunu anlama hissi
4326,keþfetimde seni görmekten býktým lütfen makyaj yapma sana yalvarýrým
4327,olm zayn iyice týrrek oldu
4328,kainattaki muhteþem ve muazzam denge ve ahenk alemlerin tek sahibini ilahýný zikrediyorkalbimizin her atýþýnda o n
4329,kimi nerden kovuyon hödük  götün yiyorsa istanbul zeytinburnunda
4330,yahu ben zamanýn da seni takipten düþtüm sen hangi aptal kuyruðu kýsýp geri geliyon harbi burda andaval çok güldürüyonuz beni saðolun
4331,hoþgeldin dedik sýra veda busesinde
4332,þu tipini siktiðime hangi yokluktaki abaza  hergün çiçek gönderiyor anlamýþ deðilim
4333,onun için geri akýyor sanki kadýn 20 yaþýndaki tatlý þirin kýz hala  hiç deðiþmiyor hiç deðiþme böyle kal
4334,unutmadik seni bölücü yavþak
4335,bi tek bunlar var baþka yok bunlar angut ya
4336,çok güzelsin istanbul ama çok günahkârsýn
4337,evet bu gün gebeþ gebeþ erkekler tuvaletine girip çýkarken fark etmedim çünkü dünkü hatalarýmdan ders almayý biliyorum teþekkürler
4338,natodançýkalým diye yazanlara bakýyorum da ne emek ne barýþ ne demokrasi ne halk iktidarý dertleri var
4339,yaladiðiinizosursa alkýþlýyorsunuz sýçsa yalýyorsunuz
4340,günaydýn yeni bir gün yeni bir hafta hayýrlý olsun inþallah çalýþan herkese hayýrlý iþler bol kazançlar dilerim herþey gönl
4341,þu an biraz sinirliyim ve küfür edeceðim lan orospu çocuðu quaresma amk þarlataný penaltý atamamak nedir lan aptal
4342,çizgiler az gelir hocam bu iþin piri desek daha iyi iyiki varsýn bu zorlu yolda önümüze ýþýk sýnýf iyiki varsýn tebrikler
4343,üzerinde açýz yazan tiþörtlere sýðmayan dombili tosuncuklar sizinde  emek ve dayanýþma gününüz kutlu olsun 
4344,seni dangalak seni bi aynaya o sifata bak bakm meymenet var mi
4345,son günlerde kendimi tutamayýp aþýrý derecede çikolata ve dondurma yiyorum yemek yiyemiyorum mesela akþam yemeði
4346,hayýrlý olsun demek adettendir ama üzüldüm valla allah yardýmcýn olsun
4347,anasýnýn amýna assýn þerefiz piç kurusu
4348,gerçekten çok baþarýlý bayýldým 
4349,benim sorunum makyaj yapýp yapmamanýz deðil her kim kendini nasýl daha güzel ve daha iyi hissediyorsa o þekilde
4350,tebrikler çocuklar o zamanlardan bu
4351,ulan tudor 10 gundur basaksehir e calisiyoruz dedigin bu muydu
4352,al bir manyak daha bunlar foseptikten çýkýyor anlaþýlan kafaya bak kafaya
4353,þabalak  ömer zaten yerli uçak üretmiyor mu türkiye
4354,þiþko yanaklarýmý nasýl yok edebilirim
4355,ilk okulda hoca sessiz sinema oyniycaz ama kitap isimleri ile ben size kitap adi söylicem siz de anlatýcaksýnýz dediðinde ben
4356,amerika da bir vakitte demokrasiyi tadacaktýr
4357,müzik eþliðinde makyaj yapmak 1 yýl
4358,dinle aðaçlý yoldan gelenleri mutlak aþký duyacaksýn
4359,embesil  insanlar aç borçlu hersey zamlandi
4360,alkolü azalttým kendim için o kadar mutluyum ki
4361,rt edelim katilimi artiralim lütfen
4362,ulan andaval bulgara satýlan arþivleri kör saðýr lal sultan kabul etti
4363,pislik mi kendine bak dinsiz imansiz insanlarsiniz bel alti vurup vurup ülkeyi perisan etti
4364,kayapýnar ilçe baþkanýmýz  ve gençlik kollarý baþkanýmýz
4365,baloda sevdiðim çocukla dans etmeme izin vermediðin için teþekkürler yelloz
4366,evlendiðinde kocasýnýn imanýnýn yarýsý tamamlanýr
4367,abim eskiden uzak yazamazsin falan diyodu bu aralar aysena gerçekten bise demiyorum ebeni tersten gormek istiyosan
4368,nasýlsa bugün nüfus cüzdanýmda adým yazar
4369,en sonunda senin ebeni sikeceðim yorum yapýp durma neyse engelleyim bok ye
4370,ben her ilkbahar aþka aþýk olurum yazýn aþýk olduðum aþkla karþýlaþacaðýma inanýrým sonbaharda ise dökülen yaprak
4371,hayýrlý cumalar
4372,aþk çok güzelsin
4373,be amýna kodumun çocuðu gökhan inler irfan can orta sahasýna 3 orta sahayla bassan nolur gerizeka
4374,yaya geçitinden çek arabaný andaval
4375,spiros adamdýr aksini iddia eden o orospu çocuðu kumandandýr
4376,çünkü taþak yok da ondan 
4377,20 kasim dünya çocuk haklari günü kutlu olsun
4378,bir haftalýk kaoslardan sonra bizi anca düðün paklar halay baþý fandom
4379,adem ne þansý ya yeter artýk karþý taraf baþarýlý kabullenin artýk bunu survivor
4380,þaka mý la bu andaval
4381,þaka þaka berduþ gibi takýlýcam ahshsj
4382,bir gün daha kendi evimde tek baþýma kendi deliliðimi yaþadýðým için mutluyum çünkü yarýn benden bir parça almaya
4383,tüm dünya tarihindeherhangi bir ülkenin spor basýnýna muhtemelen hýncal uluçtan daha zirzop bir adam gelmemiþtir
4384, genelde mutlu olmayý amaçlar  okumayý müziði sever tüm bunlarla birlikte sanata olan düþkünlüðünü zaten anlayabiliriz
4385,harikasýn prenses
4386,harika bir orosbu karin
4387,olabildiðine güzelken yalýçapkýnlarý flamingolar kuðular ve binlerce pelikanlar
4388,allah belaný versin lan gerizeka orospu çocuðu siktir git lan takýmdan tudoristifa
4389,lemuryalý aþifte azize
4390,bu tweeti retweetleyen ve sayfamýzý takip edenler arasýndan 2 kiþiye 8 kitaptan oluþan nazým hikmet ran kitap seti hediye
4391,yani sonuçta þerefsiz adi alçak hain minyon cillop buz gibi mis gibi aþifte diye birilerini dýþlayac
4392,onlar olmazsa nasýl anlatýrýz yüreðimizin hafiflediðini ve kuþ gibi olduðumuzu
4393,her þeyin bittiðini düþündüðünüz bir an gelir  iþte o an baþlangýçtýr 
4394,maicon mis gibi pislik yapiyor
4395,þimdi olsa bak nasýl sermiþtim onu seyredin tekme tekmeye getirmiþtim cenabet geber orul orul orospi evladý
4396,hayýrlý olsun inþ
4397,tebrikler üstad süpersin
4398,keþke ergen olsaydým ve koluma faça atsaydým öyle bir arzu bu gülmüyorum hiç böyle þakalara komik deðil koala þýrfýntý bozuntusu
4399,beyinsiz olduðum için beynimi hissetmiyorum
4400,ülkemizin kitap okuma oraný artmýþ bu aralar öðrencilerin vizeleri var o yüzdendir heyecana gerek yok
4401,anten misin veled 
4402,cerrahpaþaduruþu 24 nisandan beri süren seviyeli eylemdir
4403,okulda sürekli izlediðim bir çocuk var ve ben o çocuðun gülüþüne fena düþtüm
4404,kimin ne dediði önemli deðil bir çok kadýnda olmayan cesaret güzellik ve seksilik sizde mevcutbu
4405,etrafýmdakilerin ne kadar oruspu çocuðukaraktersizyavsak köpek olduðunu gördükten sonra caným hiç acýmýyor
4406,olan sürtük orospu ruhu var
4407,ananý sikeceðiz 14 hafta kahpe galatasaray
4408,tabii bu eksik ibo barzo gibi insanlarýda koymak gerek
4409,suudiler sinema salonlarý açýyormuþ
4410,sen kimsin acaba beni görünce gözlerini deviriyorsun bücür
4411,gerizeka ricardo andrade quaresma bernardo
4412,çocuk umuttur sevgidir ülkenin geleceðidir  dünya çocuk haklarý günü kutlu olsun
4413,damla istediði kadar merveyi yensin hiç önemli deðil ama birþey var ki çok çok önemli ne biliyormusunuz survivor cesurlarýn
4414,beyazlar içinde çok güzelsin meleðim  canýmýn içi  iþýl ýþýlsýn parlýyorsun prensesim
4415,beyinsiz insanlar beni yoruyor
4416,ak partili olmaktan gurur duyuyorum
4417,he gardaþ sen her seyi biliyon aman ha sen türksün baska herkes gavur ne paylastigimi cok iyi biliyoru
4418, fazlasýyla soðuk gözükür ama samimidir
4419,onun amcina saplarim yara mi fahiþe karýný istiyorum azdim iyice
4420,sen ne yýlýþýkyelloz insansýn ya
4421,tarihten çalýþmadýðým halde 62 almýþým mutluyum baya
4422,içerikyok hatavar deðiliçerik yoksa bu iþte bir pislik var demek lazým üstüne üstlük gelen evraklardaki imei gele
4423,atimmi þarký söylediðimiz videoyu kanatýyýmmý kulaklarýnýzý
4424,biri hem ayyaþ hem deli biride pislik sürtük rahat durmazlar ama bebeðe bir þey olmasýn ya
4425,baþarýlý bi ameliyat sonunda kendine geldim þükürler olsun arayýp soran herkese teþekkürler
4426,tatilse tatil
4427,kýz yelloz o bücür tipinle ben seni ciddiye alýp nefret bile etmiyorum sen niye bu kadar takýldýn bana
4428,bak bi yer var insan o yere ulaþtýðýnda bir daha eskisi gibi olamýyor o yere kim nasýl ve ne zaman gider bilinmez ama gi
4429,peki zayýflayacaðým diyip günlerdir çikolata yemeyen ben her gün çikolatalý dondurma yemem
4430,yemek sanat içindir
4431,bu þerefsizin karýsý kapalý deðilmiydi ayrýca lüks hayat yaþamalarý normal burdan çaldýklarýný harcýyor adi pislik
4432,ilk hababam sinifi 1957 yýlýna dayanýr kitap olarak rýfat ilgaz yazmýþtýr
4433,abhi sarhoþken çok komik ve tatlýsýn caným
4434,zina eden þirret insanlardan intikamýmý alcam baþka þey istemiyorum
4435,kerim yarrak gibi oyuncu son dakikalarda kopmuþ maçlara girip gol atmasý onu iyi yapmaz keþke
4436,yeni bir kýz arkadaþ edindim tanýþtýðýmýzdan beri makyaj konuþuyoruz allaahh
4437,hassiktir lan liboþ
4438,ben sana aþýk oldum gibi gibi
4439,akla baska birsey gelmiyor bu embesil icin
4440,makyaj seni çok deðiþtiriyo diyo ulan hasta mýsýn deðiþtirmese yapmayýz zaten
4441,yarraðým prosedür gereði baþvuru yaptýk sonucun ne bilmiyormuyduk sanki dingil
4442,bir de senin hiç dostun yok mu kýz sana o saçlarýnýn paçoz o tipinin kaþar olduðunu söylesin e tabi sen de haklý
4443,hikaye yazarý sensin amk neyden bahsediyon baþyapýtlarýn var birsürü dürzü
4444,biz de onu diyoruz maçý tatil ettiyse neden oynayýyor diye ama öküz yüne öküz hoþ laf yine eþþek
4445,kilo vermiyorum çünkü bu ülkenin þiþko kýzlara da ihtiyacý var
4446,sana uyguladýðý taktiði bana uyguladý kahpe bu gerçekten orosbu cýktý
4447,eski sevgilim biosuna tarih atmýþ ölmek için güzel bi bahar günü seçmiþsintebrikler
4448,þevket çoruh  mesut  olmaya hazýrlanýyor
4449,kendiyle çeliþiyor andaval  monarþi ile yönetilen ingiltere kraliçesine methiyeler düzüyor
4450,harikasýn kubilay iyi gidiyorsun devam et
4451,alihan ýn zeynebi korumasý ve aþkla bakarken gözlerinin içi gülmesine karþýn bir þarký söylemek isterim
4452,herkese merhaba savaþ ve müteci konulu fotoðraf adlý kýsa filmimize destek olmak ister misiniz
4453,hassiktir pezevenk
4454,böyle siyirdi berduþ
4455,kitap sipariþ edicem muazzam mutluyum laa
4456,kaðýthane axisteki sinema salonlarý be kadar kötü ya
4457,lan denyo sýkýþýp kaldýnýz orda
4458,aðla aðla nereye kadar be angut
4459,ananý sikerim iþte
4460,bu insanlar boþuna mý bütün zorluklara raðmen ders çalýþtý
4461,evde çikolata yok allahým çýldýrýyorum
4462,demin biri bir twiti rt yaptý bende gördüm ibret verici kadýn iç çamaþýrým yakýþmýþ mý diye sormuþ tam 1200 yorum
4463,çok tatlýsýn çok
4464,kýz senin estirdiðin rüzgarda ben anca ojemi kuruturum paçoz çekil þurdan
4465,ne diyon la tirrek
4466,bu seneki ilk 100 ümü almýþ bulunmaktayým vatana millete hayýrlý olsun
4467,sen ve karýn dünyanýn en þerefsiz kiþiliksiz þahsiyetsiz aþaðýlýk insansýn
4468,benim beklentim seninle tanýþýnca birden deniz seviyesine indi sen hala özgüven kasýyorsun cibiliyetsiz
4469,yiðit aðzina siçarim veled beni delirtme seni adam yerine koydular adam ol
4470,türkiye emekliler derneði þube baþkaný hüseyin ekmen ve beraberindeki heyetin  hayýrlý olsun  ziyaretinde
4471,tatlý kadýn batýda sana çeksin emi
4472,böle sikerim ananý cici oðlan
4473,cimbom kazandý mutluyum umutluyum bilginize
4474,embesil embesil iþler peþinde insanlarý görüyorum yine mide bulandýrýcý
4475,fesadçý gerzek mahlukbeyinsiz hariciiþid kafalý zýrzop sen git israil ile beraber ol
4476,kardeþim tek derdi makyaj ve erkekler olan keko bir kýza dönüþüyor sanýrým bilimsel adý ergenlik allahým yardým et
4477,hakkýmýzda hayýrlýsý
4478,hepsi show yapmaya geliyor oglum gibi sevdim diyo bizim dombili hala saldiriyor utanma arlanma yok hicbirinde
4479,bunun galasýnda sinema salonunu tarasak ülkenin iq ortalamasý artar
4480,zaman deðiþir duruþ asla cerrahpaþaduruþu
4481,þimdi telefon açsam sana sesini duymakta yetmiyor ki
4482,günde en az üç þeye teþekkür etmeyi öðrendiðimden beri aþýrý mutluyum
4483,gururunla geber gerizeka
4484,yahu sayýsalcýlarýn yüzde 99u gibi sikik bir beyaz yakalý olacaksýn ne alýp veremediðin var sözelcilerle hollywood mu þýmarttý bunlarý
4485,yaþamýn bana verdiði iki ders çevreni gittikçe daralt gereksiz kalabalýklarýn seni üzmesine izin verme
4486,sen tam kahpe takým taraftarý gibi yorumlar yap sonra tarafsýz gazeteyim de admin ben senin
4487,ne kadar da zarif insanlar her þeye kýrýlýyorlar ben bildiðin kütükmüþüm meðer
4488,ya rabbim þu mübarek günde  ordumuzu polisimizi ve sana ihtiyacý olan biz kullarýný muvaffak eyle
4489,alçak avantacý pislik
4490,zýrtapoz dinazor hýncal
4491,birtanem söyle canim ne istersen iste benden
4492,tek vasfý verimlar davranýþý olarak bir pozisyona gelen aþifte acaba baþka vasýflý insanlarýn hakkýný yediðini taci
4493,sevgili andaval
4494,sersem gibiyim uyanamýyorum amma ne biçim rüyaydý he
4495,gönlün kahpe tutsaksýn arkadaþ 
4496,dikkat edin kazanamassa intihar eder bu ibne
4497,hayýr galatasaraydan aldýðýn para yetmedi mi iddaa oynuyosun bizim    gözlerimizi kanatýyorsun kahpe tudor saldýrgalatasaray
4498,vay amk vatan haini seni etek giy sen pezevenk korkak
4499,þu televizyon izlememekle övünenlerin ben ta amýna koyayým yaa televizyon izlemiyosun napýyosun amcýk amcýk instagramda falan takýlýyosun
4500,kilolu kadýný bilerek seçiyor aþaðýlýk herif
4501,polyanacýlýk oynamýyoruz kardesim masumluguma bakma ebeni bile sikerim
4502,iyiki doðdun bebeðimm süpersin
4503,selamýn aleykum hayýrlý iþlerr
4504,inanýlmaz mutluyum þu an siz mükemmel bir çiftsiniz
4505,harikasýn bugün kankiþ
4506,9 aylýk evlilikçocuksuz boþanmaeþit kusur3 yýldýr nafaka ödüyorum takýlarýda götürdüdüðün borçlarý bana kaldýylisans eð
4507,hayatýmýn anasýný belleyen bir gece yasiyorum sagolun orospu cocuklari
4508,günaydýn lider taraftarý ve diðerleri
4509,bize ne izletiyor bunlar 
4510,herþey gönlünüzce olsun
4511,çok güzel marka giymiþsin onu instagramda paylaþmýþsýn bide etiketlemiþsin süpersin
4512,he ben takipten ciktigini goremiyom sanki andaval suratli
4513,bugünde çok mutluyum diyeceðim günler gelsin bir an önce
4514,harbiden bu terör yardakçýsý pislik hangi partiden milletvekiliydi
4515,özgürlüðün ve þüphenin dostu ol
4516,irem sen ne güzelsin öyle
4517,tayt þal ve makyaj bizim tesettürümüz deðildi ne yazýk ki güya tesettürün en yaygýn hali oldu ne desem nasýl anlatsam bilemiyorum
4518,saðlýklýhuzurlu musmutlu bir öðretmen olmak çocukla çocuk olmak demekti öðretmen olmak minicik yüreklere dokunabilmek demekti
4519,iyi fikir tebrikler
4520,gerizeka mal
4521,mutluyum herþeye raðmen yýkýlmadým ve hala güçlüyüm
4522,bekbele mahallesi nden iskenderun belediyesi ne teþekkür
4523,milletimizin kalbinde yaþayan demokrasi þehidimiz adnan menderes in adýný taþýyan izmir havalimanýmýz bugün 30 hizmet y
4524,gerçekten orospu çocuðu adi aþaðýlýk herif haklýsýnýz fatma haným
4525,herkese iyi geceler sana deðil mervelere gidip vermelere giden kýz ve arkadaþa borç verdim diyip karýya giden lavuk
4526,yarýn sinema salonuna böyle gireceðim
4527,provokasyon mu saðol caným  ben almayayým cerrahpaþaduruþu
4528,muhteþem mükemmelsin harikasýn süpersin
4529,sen bütün iyi yüzücüleri gönüllülere topla sonra haftada 5 oyun havuz koy ben olsam ünlülerin yerinde havuz görünce
4530,cumhurbaþkaný ve milletvekili genel seçimlerinde yurtdýþýndaki vatandaþlarýmýzýn bulunduklarý ülkelerde oy kullanma
4531,at gibi anneni teyzeni zorla bagýrta bagýrta saclarýný asýla asýl amlarýndan siker döl içinde býrakýr kirletirim
4532,ne kadar çok ortak yönümüz var ya domal bakim sen þöyle
4533,esra haným teþekkürler evindeki güzel davet için
4534,merhaba   canim
4535,açýk hava kýsýrganma tatlý su kayasý kurallaþtýrma
4536,çikolata yemekten asla vaz geçemem ya aþk bildiðin
4537,pis travesti
4538,bu pislik dünyadan bir güzel insan daha göçtü
4539,artýk okula telefon götüreceðim sýçarým sizin kuralýnýza sevgilimden ayýrýyorsunuz beni
4540,ailenizin sizi ellerinden geldikçe her þeyinizi karþýlamaya çalýþarak yýllarca okumaktasý emek harcamasý bir meslektir
4541,andaval adam allah beyin verirken nerdeydin amkun oglu
4542,bana mý diss atýyon bücür
4543,hayýrlý sabahlar
4544,arkadaslar uzun suredir yoktum hic öldun mu kaldin mi bir yarragim soran yok ne kadar serefiz olmussunuz siz
4545,kendinize depresyon ya da itibar kaybý teþhisi koymadan önce çevrenizdekilerin aþaðýlýk insanlar olmadýklarýndan e
4546,hafif zýrhlý araçlar ve birkaç tankla devletlere meydan okuyan güçlerin sonu pek hayýrlý olmadý ypg nin de ayný safdill
4547,amk çikolata aldým kabýnda böyle çikolata þelalesi falan akýyor kekin içinden sonra paketten  çýkarýp  bir ýsýrýk aldým
4548,tüm paramý kedi mamasýna harcadým mutluyum
4549,reza yi kahraman ilan eden embesil güruh twitter mesaisine baþlamýþ umarim sadece aktrollerdir
4550,ben yazayým kardeþim ayýp ediyorsunsüzme orospu kendisisürtük aþifte ne dersen deyolun önü
4551,çok yordun mu o beyinciðini bunu yazmak için algý yoksunu embesil seni
4552,yalancý pislik þerefsiz adamlar hala aramýzdalar maðlesef
4553,bence dizi yapýmlarý türkiyenin en baþarýlý sektörünü oluþturuyor
4554,cok þükür
4555,yavþama cüce
4556,üç dua vardýr kibunlar þüphesiz kabul edilirmazlumun duasýyolcunun duasý ve babanýn evladýna duasý
4557,ulan bu ne amk ya
4558,kardeþim siz buna bahar þenliði demiþsiniz ama bu bildiðin düðün yeri
4559,herkese iyi geceler sana bok suratlý sevgilin söylemiþtir zaten
4560,sabýr her þart altýnda allahýn istediklerini sürdürebilm
4561,antalya piyasasýna ömer kara isimli yeni bir konyalý giriþ yaptý ve meydan gazetesini kurdu
4562,orospu çocuðu kumpasçý nazmi ardýç ýn karýsý niye tutuklanmýþ onu da yazsaydýn ya
4563,üstadýn ifadesiyle yeryüzünde adalet varsa bu kararý red ve bu hükmü nakzedecek bozacaktýr
4564,bir aþk filminin fragmaný gibi deðil mi  filmi ise üç hafta sonra yayýnda
4565,andaval andaval
4566,iþçi kendi yaptýðý iphonuadidasý alamasýn mý lan dalyarak siktir git lan sýnýftan sosyolojiye giriþ dersini alttan alacaksýn
4567,ingiltere saðlýk bakaný bilgisayar hatasý sonucu onlarca kadýn meme kanserinden ölmüþ olabilir
4568,sevipte ayrýlanlarýn hislerini anlatan 5 þarký
4569,olum neden siyahi herkese kaç santim diye soruyorsunuz manyak mýsýnýz
4570,her türlü orospu çocukluðu yapýp masum gibi takýlýyorsunuz ya aldýðýnýz nefesin amýna koyasým geliyor
4571,gözler ki birer parçasýdýr sende ilahýn
4572,sen benim için o kadar güzelsin ki sporda karýlarýn götüne bile bakmýyorum o kadar para ödeyip bu hakka sahip olmama raðmen
4573,lüks yaþam bu mu ulan gerizeka lüks hayatlarý olsa o poþetleri taþýyan hizmetçileri olurdu amerika 
4574,kahpe götünü domal sokacak yarak bulursun kahpe
4575,hadi hayýrlý olsun
4576,lan dombili az çakal deðilsin þerefsiz
4577,sana ne lan liboþ
4578,hastasýöðrencisiasistanýhocasý ve tüm emektarlarýyla iþte buyrun size cerrahpaþaduruþu
4579,neþet ertaþ  hata benim  hata benim © 200 kalan müzik 
4580,yavsak herif bunlarý barýndýrmayacan da iþte
4581,kültürlü düzgün bi insan olmayý seçmek varken neden keko oluyorsunuz orospu çocuklarý
4582,hayýrlý akþamlar olsun cümleten
4583,kköyü karýncalar cüce ýrklarý falan mý bastý amk bu ne birini ezcem diye çok korkuyorum
4584,þimdi bu dangalak fazýl ile alkolik cemile sorsan pelikan falan yok o da ne davutçularýn uydurmasý derler
